Player_Id,COUNTRY_ID,Matches,Bat_Innings,Bowl_Innings,Not_Outs,Runs_Scored,Highest_Score,Hundreds,Fifties,Ducks,Fours,Sixes,Maidens,Runs_Conceded,Wickets,BBI,Four_Wkt_Hauls,Five_Wkt_Hauls,Catches,Stumpings,COUNTRY_NAME,Player_Name,T20_BOWLING.Bowl_Avg,T20_BOWLING.Economy_Rate,T20_BOWLING.Overs,T20_BOWLING.SR,T20_FIELDING.Dissmissals,T20_FIELDING.Field_Innings,T20_FIELDING.Matches
80,ENG,25,25,0,1,536,63,0,3,1,61,21,0,0,0,0,0,0,7,0,England,MJ Lumb,0,0,0,0,7,25,25
81,ENG,6,6,4,0,57,36,0,0,1,8,1,0,41,0,0,0,0,1,0,England,MM Ali,0,8.2,5,0,1,6,6
82,ENG,23,23,0,1,512,63,0,3,2,47,23,0,0,0,0,0,0,15,3,England,C Kieswetter,0,0,0,0,18,23,23
83,ENG,1,1,1,0,4,4,0,0,0,0,0,0,17,0,0,0,0,0,0,England,GJ Batty,0,5.66,3,0,0,1,1
84,ENG,17,14,0,4,194,60*,0,1,0,16,5,0,0,0,0,0,0,20,0,England,JM Bairstow,0,0,0,0,20,17,17
85,ENG,17,3,18,3,14,8*,0,0,0,1,0,0,487,25,3\16,0,0,4,0,England,ST Finn,19.48,7.16,68,16.3,4,17,17
86,ENG,1,1,1,0,14,14,0,0,0,2,0,0,15,1,1\15,0,0,1,0,England,SG Borthwick,15,3.75,4,24,1,1,1
87,ENG,17,14,15,2,189,67,0,1,2,17,5,0,321,7,2\6,0,0,3,0,England,SR Patel,45.85,7.64,42,36,3,17,17
88,ENG,16,15,0,1,347,55*,0,1,0,26,13,0,0,0,0,0,0,5,0,England,OA Shah,0,0,0,0,5,16,16
89,ENG,6,1,6,1,0,0*,0,0,0,0,0,0,199,5,2\25,0,0,1,0,England,DR Briggs,39.8,11.05,18,21.6,1,6,6
90,ENG,16,1,18,1,5,5*,0,0,0,1,0,0,437,23,3\16,0,0,5,0,England,RJ Sidebottom,19,7.14,61.1,15.9,5,16,16
91,ENG,14,13,14,5,123,31,0,0,3,8,5,0,309,12,3\18,0,0,7,0,England,AD Mascarenhas,25.75,7.35,42,21,7,14,14
92,ENG,3,3,3,0,60,32,0,0,0,6,0,0,39,2,1\10,0,0,1,0,England,JWM Dalrymple,19.5,7.8,5,15,1,3,3
93,ENG,14,6,13,3,32,22,0,0,1,4,1,0,347,6,1\16,0,0,2,0,England,JC Tredwell,57.83,7.73,44.5,44.8,2,14,14
94,ENG,13,7,13,5,96,35*,0,0,2,9,1,0,299,11,2\19,0,0,8,0,England,MH Yardy,27.18,6.5,46,25,8,13,13
95,ENG,4,4,1,0,20,14,0,0,1,2,0,0,9,1,1\9,0,0,1,0,England,JL Denly,9,9,1,6,1,4,4
96,ENG,9,8,0,2,127,32,0,0,1,11,5,0,0,0,0,0,0,6,2,England,MJ Prior,0,0,0,0,8,9,9
97,ENG,7,7,0,1,175,60*,0,1,0,21,2,0,0,0,0,0,0,4,0,England,IR Bell,0,0,0,0,4,7,7
98,ENG,7,7,7,1,76,31,0,0,1,7,2,0,161,5,2\23,0,0,5,0,England,A Flintoff,32.2,6.44,25,30,5,7,7
99,ENG,3,3,0,0,166,72,0,2,0,23,1,0,0,0,0,0,0,2,0,England,ME Trescothick,0,0,0,0,2,3,3
100,ENG,7,5,4,2,152,90*,0,1,0,20,2,0,80,3,1\13,0,0,4,0,England,JE Root,26.66,11.42,7,14,4,7,7
101,ENG,2,0,2,0,0,0,0,0,0,0,0,0,49,3,3\16,0,0,0,0,England,D Gough,16.33,7.17,6.5,13.6,0,2,2
102,ENG,6,5,6,2,75,27*,0,0,0,4,5,0,138,8,3\39,0,0,5,0,England,CJ Jordan,17.25,7.52,18.2,13.7,5,6,6
103,ENG,6,6,0,0,138,51,0,1,0,9,3,0,0,0,0,0,0,0,0,England,IJL Trott,0,0,0,0,0,6,6
104,ENG,6,5,3,1,49,31,0,0,1,4,2,0,92,0,0,0,0,0,0,England,BA Stokes,0,11.5,8,0,0,6,6
105,ENG,2,0,2,0,0,0,0,0,0,0,0,0,42,1,1\13,0,0,1,0,England,SJ Harmison,42,6.46,6.3,39,1,2,2
106,ENG,5,5,0,0,102,33,0,0,0,12,0,0,0,0,0,0,0,2,1,England,SM Davies,0,0,0,0,3,5,5
107,ENG,5,5,0,2,37,14*,0,0,0,0,1,0,0,0,0,0,0,3,3,England,JS Foster,0,0,0,0,6,5,5
108,ENG,5,2,5,1,10,9*,0,0,0,0,0,0,120,3,1\11,0,0,0,0,England,AU Rashid,40,8.57,14,28,0,5,5
109,ENG,1,1,1,0,2,2,0,0,0,0,0,0,34,2,2\34,0,0,0,0,England,A Khan,17,8.5,4,12,0,1,1
110,ENG,4,4,0,0,61,26,0,0,0,10,0,0,0,0,0,0,0,1,0,England,AN Cook,0,0,0,0,1,4,4
111,ENG,1,1,1,1,2,2*,0,0,0,0,0,0,17,0,0,0,0,0,0,England,RJ Kirtley,0,17,1,0,0,1,1
112,ENG,4,4,2,0,113,50,0,1,0,12,3,0,26,3,2\6,0,0,1,0,England,DL Maddy,8.66,8.66,3,6,1,4,4
113,ENG,2,2,2,1,1,1,0,0,0,0,0,0,55,4,4\24,1,0,1,0,England,J Lewis,13.75,7.85,7,10.5,1,2,2
114,ENG,4,2,4,2,1,1*,0,0,0,0,0,0,155,3,1\31,0,0,1,0,England,SI Mahmood,51.66,11.07,14,28,1,4,4
115,ENG,4,4,4,3,24,9*,0,0,0,2,0,0,92,4,2\15,0,0,1,0,England,CP Schofield,23,7.16,12.5,19.2,1,4,4
116,ENG,4,4,0,0,73,33,0,0,1,9,0,0,0,0,0,0,0,1,0,England,AJ Strauss,0,0,0,0,1,4,4
