Player_Id,COUNTRY_ID,Matches,Bat_Innings,Bowl_Innings,Not_Outs,Runs_Scored,Highest_Score,Hundreds,Fifties,Ducks,Maidens,Runs_Conceded,Wickets,BBI,Four_Wkt_Hauls,Five_Wkt_Hauls,Catches,Stumpings,COUNTRY_NAME,ODI_BOWLING.Balls,ODI_BOWLING.SR,Player_Name
904,NZ,76,65,74,6,987,60,0,2,6,75,2680,87,5\28,2,1,19,0,New Zealand,3967,45.5,BL Cairns
905,NZ,118,114,17,9,3107,108,2,18,6,0,323,10,2\39,0,0,41,0,New Zealand,389,38.9,KR Rutherford
906,NZ,91,54,89,19,535,64,0,1,4,67,3201,112,4\34,1,0,19,0,New Zealand,4465,39.8,MC Snedden
907,NZ,86,86,11,9,2760,93,0,25,4,1,216,4,2\42,0,0,23,0,New Zealand,306,76.5,AH Jones
908,NZ,96,43,95,24,171,20*,0,0,7,49,3470,126,5\34,1,2,19,0,New Zealand,4586,36.3,DK Morrison
909,NZ,81,78,11,9,2666,103,1,20,5,0,235,4,2\31,0,0,35,0,New Zealand,272,68,RG Twose
910,NZ,61,24,61,13,86,21,0,0,3,49,2247,74,4\27,1,0,9,0,New Zealand,3251,43.9,W Watson
911,NZ,38,38,0,11,442,49*,0,0,6,0,0,0,0,0,0,37,1,New Zealand,0,0,TE Blain
912,NZ,84,79,69,19,1850,66*,0,8,1,24,2020,54,4\46,1,0,38,0,New Zealand,2907,53.8,JV Coney
913,NZ,61,40,61,18,190,34*,0,0,3,36,2396,96,5\45,2,1,7,0,New Zealand,3197,33.3,C Pringle
914,NZ,84,83,1,5,2206,111,2,13,7,0,5,0,0,0,0,35,0,New Zealand,6,0,MJ Greatbatch
915,NZ,74,51,72,13,598,42,0,0,3,34,2479,62,4\38,1,0,24,0,New Zealand,3233,52.1,DJ Nash
916,NZ,31,24,0,5,215,26,0,0,1,0,0,0,0,0,0,28,2,New Zealand,0,0,WK Lees
917,NZ,36,31,0,5,519,89,0,3,2,0,0,0,0,0,0,20,9,New Zealand,0,0,LK Germon
918,NZ,75,63,69,10,623,71,0,1,6,30,2261,45,3\22,0,0,23,0,New Zealand,3251,72.2,DN Patel
919,NZ,73,71,1,12,1518,88*,0,7,6,0,1,0,0,0,0,27,0,New Zealand,6,0,JJ Crowe
920,NZ,62,62,1,4,1795,102*,1,10,3,0,5,0,0,0,0,12,0,New Zealand,12,0,BA Edgar
921,NZ,69,68,0,2,1532,74,0,8,5,0,0,0,0,0,0,27,0,New Zealand,0,0,BA Young
922,NZ,38,38,1,5,1572,171*,3,9,1,1,0,0,0,0,0,11,0,New Zealand,6,0,GM Turner
923,NZ,41,27,41,13,172,22,0,0,2,24,1393,36,4\25,1,0,10,0,New Zealand,1685,46.8,SB Doull
